#Position (bp)	mapping quality
4.4708303E7	41.9971085133628
4.4869414E7	42.0
4.5030525E7	41.897398387028275
4.5191636E7	38.5966368297558
4.5352747E7	41.99272567199494
4.5513858E7	41.97620352466334
4.5674969E7	41.203378801869775
4.583608E7	41.96634642092843
4.5997191E7	41.984809486379916
4.6158302E7	42.0
4.6319413E7	41.9948736482695
4.6480524E7	42.0
4.6641635E7	41.975651093158575
4.6802746E7	41.91321524702614
4.6963857E7	42.0
4.7124968E7	41.99478621368092
4.7286079E7	41.99808246475791
4.744719E7	0.0
4.7608301E7	41.64361890292719
4.7769412E7	41.99531782648577
4.7930523E7	0.0
4.8091634E7	0.0
4.8252745E7	0.0
4.8413856E7	0.0
4.8574967E7	41.99971403768575
4.8736078E7	42.0
4.8897189E7	41.975590254482626
4.90583E7	41.9955851802528
4.9219411E7	41.917828422482174
